"DEDASPB01","SPB01","DEDA"
"DEDCSLFS01","LFS01","DEDCS"
"DEDCSLFS02","LFS02","DEDCS"
"DEDCSLFS03","LFS03","DEDCS"
"DEDCSLFS04","LFS04","DEDCS"
"DEDCSLFS05","LFS05","DEDCS"
"DEDCSLFS06","LFS06","DEDCS"
"DEDCSLFS07","LFS07","DEDCS"
"DEDCSLFS08","LFS08","DEDCS"
"DEDCSLFS09","LFS09","DEDCS"
"DEDCSLFS11","LFS11","DEDCS"
"DEDCSLFS14","LFS14","DEDCS"
"DEDDLMF01","LMF01","DEDD"
"DEDEA001","A001","DEDE"
"DEDEA002","A002","DEDE"
"DEDEA003","A003","DEDE"
"DEDEA004","A004","DEDE"
"DEDEA005","A005","DEDE"
"DEDEA006","A006","DEDE"
"DEDEA007","A007","DEDE"
"DEDEA008","A008","DEDE"
"DEDEA009","A009","DEDE"
"DEDEA010","A010","DEDE"
"DEDEA011","A011","DEDE"
"DEDEA012","A012","DEDE"
"DEDEA013","A013","DEDE"
"DEDEA014","A014","DEDE"
"DEDEA014B","A014B","DEDE"
"DEDEA015","A015","DEDE"
"DEDEA016","A016","DEDE"
"DEDEA017","A017","DEDE"
"DEDEA018","A018","DEDE"
"DEDEA019","A019","DEDE"
"DEDEA020","A020","DEDE"
"DEDELFB2","LFB2","DEDE"
"DEDELQ01","LQ01","DEDE"
"DEDELQ02","LQ02","DEDE"
"DEDELQ03","LQ03","DEDE"
"DEDELQ04","LQ04","DEDE"
"DEDELQ05","LQ05","DEDE"
"DEDELQ06","LQ06","DEDE"
"DEDESPA01","SPA01","DEDE"
"DEDESPB03","SPB03","DEDE"
"DEDFA002","A002","DEDF"
"DEDFA003","A003","DEDF"
"DEDFA004","A004","DEDF"
"DEDFA005","A005","DEDF"
"DEDFA007","A007","DEDF"
"DEDFA008","A008","DEDF"
"DEDFA009","A009","DEDF"
"DEDFA010","A010","DEDF"
"DEDGA002","A002","DEDG"
"DEDGLIQ01","LIQ01","DEDG"
"DEDHLBQ01","LBQ01","DEDH"
"DEDHLCL01","LCL01","DEDH"
"DEDHLQ07","LQ07","DEDH"
"DEDIA001","A001","DEDI"
"DEDIA002","A002","DEDI"
"DEDIA003","A003","DEDI"
"DEDIA004","A004","DEDI"
"DEDIA005","A005","DEDI"
"DEDIA006","A006","DEDI"
"DEDIA007","A007","DEDI"
"DEDIA008","A008","DEDI"
"DEDKA001","A001","DEDK"
"DEDKA002","A002","DEDK"
"DEDKA003","A003","DEDK"
"DEDKA004","A004","DEDK"
"DEDKA005","A005","DEDK"
"DEDKA006","A006","DEDK"
"DEDKA007","A007","DEDK"
"DEDKA008","A008","DEDK"
"DEDKA009","A009","DEDK"
"DEDKA010","A010","DEDK"
"DEDKA011","A011","DEDK"
"DEDKA012","A012","DEDK"
"DEDKA013","A013","DEDK"
"DEDKD001","D001","DEDK"
"DEDKLROB","LROB","DEDK"
"DEDLEM01","EM01","DEDL"
"DEDLEM02","EM02","DEDL"
"DEDLEM03","EM03","DEDL"
"DEDLEM04","EM04","DEDL"
"DEDLLM01","LM01","DEDL"
"DEDLLM06","LM06","DEDL"
"DEDMLID2","LID2","DEDM"
"DEDMLM1","LM1","DEDM"
"DEDMLM2","LM2","DEDM"
"DEDMLM3","LM3","DEDM"
"DEDMLM4","LM4","DEDM"
"DEDMLM5","LM5","DEDM"
"DEDMLM6","LM6","DEDM"
"DEDMLM7","LM7","DEDM"
"DEDNA001","A001","DEDN"
"DEDNLE01","LE01","DEDN"
"DEDNLE02","LE02","DEDN"
"DEDNLE03","LE03","DEDN"
"DEDNLE04","LE04","DEDN"
"DEDNLE05","LE05","DEDN"
"DEDNLE06","LE06","DEDN"
"DEDNLE07","LE07","DEDN"
"DEDNLE08","LE08","DEDN"
"DEDNLHI01","LHI01","DEDN"
"DEDNLHI02","LHI02","DEDN"
"DEDNLHI03","LHI03","DEDN"
"DEDNLHI04","LHI04","DEDN"
"DEDPA001","A001","DEDP"
"DEDPA002","A002","DEDP"
"DEDPA003","A003","DEDP"
"DEDPA004","A004","DEDP"
"DEDPA005","A005","DEDP"
"DEDPA006","A006","DEDP"
"DEDPA007","A007","DEDP"
"DEDPA008","A008","DEDP"
"DEDPA009","A009","DEDP"
"DEDPA010","A010","DEDP"
"DEDPA011","A011","DEDP"
"DEDPA012","A012","DEDP"
"DEDPA013","A013","DEDP"
"DEDPA014","A014","DEDP"
"DEDPA015","A015","DEDP"
"DEDPA016","A016","DEDP"
"DEDPA017","A017","DEDP"
"DEDPA018","A018","DEDP"
"DEDPA019","A019","DEDP"
"DEDPA020","A020","DEDP"
"DEDPA021","A021","DEDP"
"DEDPA022","A022","DEDP"
"DEDPA023","A023","DEDP"
"DEDPLC01","LC01","DEDP"
"DEDPLC02","LC02","DEDP"
"DEDPLC03","LC03","DEDP"
"DEDPLC04","LC04","DEDP"
"DEDPLC05","LC05","DEDP"
"DEDPLC06","LC06","DEDP"
"DEDPLC07","LC07","DEDP"
"DEDPLC08","LC08","DEDP"
"DEDPLC09","LC09","DEDP"
"DEDPLC10","LC10","DEDP"
"DEDPLC11","LC11","DEDP"
"DEDPLT01","LT01","DEDP"
"DEDPLT02","LT02","DEDP"
"DEDPLT03","LT03","DEDP"
"DEDPLT04","LT04","DEDP"
"DEDPLT05","LT05","DEDP"
"DEDPLT06","LT06","DEDP"
"DEDQA001","A001","DEDQ"
"DEDQA002","A002","DEDQ"
"DEDQA003","A003","DEDQ"
"DEDQA004","A004","DEDQ"
"DEDQA005","A005","DEDQ"
"DEDQA006","A006","DEDQ"
"DEDQA007","A007","DEDQ"
"DEDQA008","A008","DEDQ"
"DEDQA009","A009","DEDQ"
"DEDQA010","A010","DEDQ"
"DEDQA011","A011","DEDQ"
"DEDQA012","A012","DEDQ"
"DEDQA013","A013","DEDQ"
